"","Program","Study","Published","Year","Table","IndependentEvaluator","Topic","Design","Grade","Grade.Band","Duration","Duration.Band","Non-US","Low.SES","High.Minority","Treatment.Cluster","Control.Cluster","Total.Cluster","Treatment.N","Control.N","Outcome.Domain","Posttest","Group","Effect.Size","ESId","StudyID","ProgramID","Clustered","Randomized","journal","NCES","Upper","Lower","Mixed","Dur.One","Dur.Less","Dur.More","old","minority.high","minority.low","minority.nr","ses.high","ses.low","ses.nr","outcome.achieve","outcome.comprehension","outcome.alphabetics","outcome.fluency","comp.assist","benchmark","supp.curric","pd","coop.learn","curr.instruct","sel","core.basal","early.child","cluster","student"
"7","ABRACADABRA","Savage et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Cluster randomized","K, 1, 2","Lower","1 semester","Less than 1 year","1","N","NR",23,23,NA,363,328,"Comprehension","GRADE Passage Comprehension",NA,-0.01,7,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"8","ABRACADABRA","Savage et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Cluster randomized","K, 1, 2","Lower","1 semester","Less than 1 year","1","N","NR",23,23,NA,363,328,"Comprehension","GRADE Sentence Comprehension","Grade 1/2",0.04,8,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"9","ABRACADABRA","Savage et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Cluster randomized","K, 1, 2","Lower","1 semester","Less than 1 year","1","N","NR",25,25,NA,395,356,"Comprehension","DIBELS Reading Retell","Grade 1/2",-0.02,9,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"10","ABRACADABRA","Savage et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Cluster randomized","K, 1, 2","Lower","1 semester","Less than 1 year","1","N","NR",37,37,NA,549,518,"Alphabetics","CTOPP Blending Words","K & Grade 1/2",0.3,10,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"11","ABRACADABRA","Savage et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Cluster randomized","K, 1, 2","Lower","1 semester","Less than 1 year","1","N","NR",37,37,NA,549,518,"Alphabetics","DIBELS Phonemic Segmentation","K & Grade 1/2",0.23,11,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"12","ABRACADABRA","Savage et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Cluster randomized","K, 1, 2","Lower","1 semester","Less than 1 year","1","N","NR",25,25,NA,395,356,"Fluency","DIBELS Reading Fluency","Grade 1/2",-0.08,12,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"13","ABRACADABRA","Wolgemuth et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Student randomized","K, 1, 2","Lower","16 weeks","Less than 1 year","1","NR","N",6,6,NA,156,135,"Achievement","PIPS-BLA Reading",NA,0.09,13,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"14","ABRACADABRA","Wolgemuth et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Student randomized","K, 1, 2","Lower","16 weeks","Less than 1 year","1","NR","N",6,6,NA,163,145,"Alphabetics","GRADE K phonological awareness",NA,0.29,14,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"15","ABRACADABRA","Wolgemuth et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Student randomized","K, 1, 2","Lower","16 weeks","Less than 1 year","1","NR","N",6,6,NA,163,145,"Comprehension","GRADE K word reading",NA,0.17,15,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"16","ABRACADABRA","Wolgemuth et al. (2013)","1",2013,"3",NA,"Supplemental Curricula","Student randomized","K, 1, 2","Lower","16 weeks","Less than 1 year","1","NR","N",6,6,NA,156,135,"Alphabetics","PIPS-BLA Phonics",NA,0.09,16,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"17","Academy of Reading","Campuzano et al. (2009)","NCEE",2009,"3",NA,"Supplemental Curricula","Cluster randomized","4","Upper","1 year","One year","0","N","Y",22,19,NA,495,404,"Achievement","SAT-10",NA,-0.01,17,3,2,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"20","Achieve3000","Hill & Lenard (2016)","0",2016,"3",NA,"Supplemental Curricula","Cluster randomized","2-5","Mixed","1 year","One year",NA,"N","N",16,16,NA,16619,18013,"Achievement","EOG Lexile",NA,0,20,4,3,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"21","Achieve3000","Hill & Lenard (2016)","0",2016,"3",NA,"Supplemental Curricula","Cluster randomized","2-5","Mixed","1 year","One year",NA,"N","N",16,16,NA,16619,18013,"Achievement","DIBELS ORF",NA,0.03,21,4,3,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"22","Achieve3000","Shannon & Grant (2015)","0",2015,"3",NA,"Supplemental Curricula","Cluster randomized","3","Upper","1 year","One year","0","N","N",6,7,NA,127,143,"Comprehension","GMRT
   Comprehension","3",0.02,22,5,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
